,ds,floor,cap
712,2022-02-11,0,17368
713,2022-02-12,0,17368
714,2022-02-13,0,17368
715,2022-02-14,0,17368
716,2022-02-15,0,17368
717,2022-02-16,0,17368
718,2022-02-17,0,17368
719,2022-02-18,0,17368
720,2022-02-19,0,17368
721,2022-02-20,0,17368
722,2022-02-21,0,17368
723,2022-02-22,0,17368
724,2022-02-23,0,17368
725,2022-02-24,0,17368
726,2022-02-25,0,17368
727,2022-02-26,0,17368
728,2022-02-27,0,17368
729,2022-02-28,0,17368
730,2022-03-01,0,17368
731,2022-03-02,0,17368
732,2022-03-03,0,17368
733,2022-03-04,0,17368
734,2022-03-05,0,17368
735,2022-03-06,0,17368
736,2022-03-07,0,17368
737,2022-03-08,0,17368
738,2022-03-09,0,17368
739,2022-03-10,0,17368
740,2022-03-11,0,17368
741,2022-03-12,0,17368
742,2022-03-13,0,17368
743,2022-03-14,0,17368
744,2022-03-15,0,17368
745,2022-03-16,0,17368
746,2022-03-17,0,17368
747,2022-03-18,0,17368
748,2022-03-19,0,17368
749,2022-03-20,0,17368
750,2022-03-21,0,17368
751,2022-03-22,0,17368
752,2022-03-23,0,17368
753,2022-03-24,0,17368
754,2022-03-25,0,17368
755,2022-03-26,0,17368
756,2022-03-27,0,17368
757,2022-03-28,0,17368
758,2022-03-29,0,17368
759,2022-03-30,0,17368
760,2022-03-31,0,17368
761,2022-04-01,0,17368
762,2022-04-02,0,17368
763,2022-04-03,0,17368
764,2022-04-04,0,17368
765,2022-04-05,0,17368
766,2022-04-06,0,17368
767,2022-04-07,0,17368
768,2022-04-08,0,17368
769,2022-04-09,0,17368
770,2022-04-10,0,17368
771,2022-04-11,0,17368
772,2022-04-12,0,17368
773,2022-04-13,0,17368
774,2022-04-14,0,17368
775,2022-04-15,0,17368
776,2022-04-16,0,17368
777,2022-04-17,0,17368
778,2022-04-18,0,17368
779,2022-04-19,0,17368
780,2022-04-20,0,17368
781,2022-04-21,0,17368
782,2022-04-22,0,17368
783,2022-04-23,0,17368
784,2022-04-24,0,17368
785,2022-04-25,0,17368
786,2022-04-26,0,17368
787,2022-04-27,0,17368
788,2022-04-28,0,17368
789,2022-04-29,0,17368
790,2022-04-30,0,17368
791,2022-05-01,0,17368
792,2022-05-02,0,17368
793,2022-05-03,0,17368
794,2022-05-04,0,17368
